	_id	articles	bij_link	bij_summary_short	bureau_id	children	civilians	country	date	deaths	deaths_max	deaths_min	injuries	lat	location	lon	names	narrative	number	target	town	tweet_id	bins
0	55c79e711cbee48856a30886	[]	http://www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/	In the first known US targeted assassination using a drone, a CIA Predator struck a car killing six al Qaeda suspects.	YEM001	0	0	Yemen	2002-11-03	6	6	6	0	15.47467	Marib Province	45.322755	[Qa'id Salim Sinan al-Harithi, Abu Ahmad al-Hijazi, Salih Hussain Ali al-Nunu, Awsan Ahmad al-Tarihi, Munir Ahmad Abdallah al-Sauda, Adil Nasir al-Sauda']	In the first known US targeted assassination using a drone, a CIA Predator struck a car, killing 6 people.	1			278544689483890688	0
1	55c79e711cbee48856a30887	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	First known drone strike in Pakistan kills at least six, including infamous Taliban leader Nek Mohammad and two children. Wana, South Waziristan.	B1	2	2	Pakistan	2004-06-17	6-8	8	6	1	32.30512565	South Waziristan	69.57624435	[Nek Mohammad, Fakhar Zaman, Azmat Khan, Marez Khan, Shahrukh Khan, Leetak, Sher Zaman Ashrafkhel]	The first known fatal US drone strike inside Pakistan killed 6-8 people, including 2 children.	2	Nek Mohammed	Wana	278544750867533824	1
2	55c79e711cbee48856a30888	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	Two killed, including Haitham al-Yemeni an al Qaeda explosives expert, near Mir Ali, North Waziristan.	B2	0	0	Pakistan	2005-05-08	2	2	2	0	32.98677989	North Waziristan	70.26082993	[Haitham al-Yemeni, Samiullah Khan]	2 people killed in a Predator strike which reportedly targeted Haitham al-Yemeni's mobile phone.	3	Haitham al-Yemeni	Toorikhel	278544812255367168	0
3	55c79e721cbee48856a30889	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	"Failed strike against Abu Hamza Rabia (""al Qaeda's Number 3"") kills eight including three children."	B3	3	3-8	Pakistan	2005-11-05	8	8	8	1	32.99988191	North Waziristan	70.34082413	[]	A failed strike destroyed Abu Hamza Rabia's house and killed 8 people, including 3 young girls.	4	Abu Hamza Rabia	Mosaki	278544854483628032	1
4	55c79e721cbee48856a3088a	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	Syrian Abu Hamza Rabia, the senior al Qaeda operative targeted in B3, was killed with two other foreign militants and two boys, aged eight and 17.	B4	2	2	Pakistan	2005-12-01	5	5	5	0	33.00866349	North Waziristan	70.04196167	[Abu Hamza Rabia, Suleiman al-Moghrabi, Amer Azizi, Noor Aziz, Abdul Wasit]	5 people were killed, including 2 children, when drones fired on a house 'for about 8 minutes.'	5	Abu Hamza Rabia	Haisori	278544895789133825	0
5	55c79e721cbee48856a3088b	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	An attack on an unnamed alleged al Qaeda official left eight killed, including two women and at least one child.	B4c	1	3-4	Pakistan	2006-01-06	8	8	8	9	33.09499311	North Waziristan	70.05912781	[]	8 people were reported killed including 2 women and 1 child.	6		Saidgai	278544937409200129	2
6	55c79e721cbee48856a3088c	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	A strike targeted a possible militant commanders' meeting. But main target Ayman al Zawahiri was absent. Up to 22 people died, most or all civilians, including at least five children.	B5	5	10-18	Pakistan	2006-01-13	13-22	22	13	0	34.81549453	Bajaur Agency	71.4969635	[]	18 civilians, including 6 children, were killed when a US Predator fired on 3 houses.	7	Ayman al-Zawahiri; Abu Khabab al-Masri; Abd Rahman al-Masri al-Maghribi; Abu Ubeidah al-Masri; Marwan al-Suri; Khalid Habib; Abdul Hadi al-Iraqi	Damadola	278545016044011520	0
7	55c79e721cbee48856a3088d	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	"An attack on a madrassa (allegedly a ""Taliban training camp"") killed 81-83, including at least 69 children."	B6	69	80-82	Pakistan	2006-10-30	81-83	83	81	3	34.83634999	Bajaur Agency	71.49215698	[Maulvi Liaqat, Mohammad Tahir (16), Maulvi Khaleefa, Azizul Wahab (15), Fazal Wahab (16), Ziauddin (16), Mohammad Yunus (16), Fazal Hakim (19), Ilyas (13), Sohail (07), Asadullah (09), Shoaib (08), Khalilullah (09), Noor Mohammad (08), Khalid (12), Saifullah (09), Razi Mohammad (16), Mashooq Jan (15), Nawab (17), Sultanat Khan (16), Mohammad Yaas Khan (16), Qari Alamzeb (14), Ghulam Nabi (21), Ziaur Rahman (17), Abdullah (18), Ikramullah (17), Inayatur Rahman (16), Shahbuddin (15), Yahya Khan (16), Rahatullah, (17), Khan (21), Mohammad Salim (11), Shahjehan (15), Gul Sher Khan (15), Bakht Muneer (14), Numair (14), Mashooq Khan (16), Ihsanullah (16), Luqman (12), Salman (16), Jannatullah (13), Ismail (12), Taseel Khan (18), Zaheeruddin (16), Qari Ishaq (19), Jamshed Khan (14), Alam Nabi (11), Qari Abdul Karim (19), Rahmatullah (14), Abdus Samad (17), Siraj (16), Saeedullah (17), Abdul Waris (16), Darvesh (13), Ameer Said (15), Shaukat (14), Inayatur Rahman (17), Ziaur Rahman (13), Noor Mohammad (15), Naeemullah (17),        Hizbullah (10), Kitab Gul (12), Wilayat Khan (11), Zabihullah (16), Shehzad Gul (11), Shabir (15), Qari Sharifullah (17), Shafiullah (16), Nimatullah (14), Shakirullah (16), Talha (08), Jamroz Khan, Fazal Wahab (18), Rahman (13), Wali-ur-Rahman (17), Iftikhar (17), Inayatullah (15), Adnan (16), Najibullah (13)]	80-83 civilians, including 69 children, reported killed.	8	Maulvi Liaqat	Chenegai	278545055214612482	1
8	55c79e721cbee48856a3088e	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist were all innocent woodcutters.	B7	1	8	Pakistan	2007-01-16	8	8	8	0	32.83575063	South Waziristan	69.55581665	[Katoor Khan, Taj Alam]	8 people, many thought to be innocent woodcutters, were killed in a likely drone/helicopter strike.	9		Zamazola	278545097790980096	0
9	55c79e721cbee48856a3088f	[]	http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/	Attack on a house and madrassa killed 3-4, reportedly all named civilians.	B8	0	4	Pakistan	2007-04-27	3-4	4	3	9	33.09499311	North Waziristan	70.05912781	[]	An attack on a religious school killed four people and injured three.	10	Maulvi Noor Mohammed	Saidgai	278545157916356608	2
